Order_ID,Order_Date,Customer_Name,City,Product,Category,Quantity,Price
3001,2026-08-01,Rahul,Bhubaneswar,Laptop,Electronics,1,72000
3002,2026-08-01,Priya,Delhi,Phone,Electronics,2,34000
3003,2026-08-02,Amit,Hyderabad,Monitor,Electronics,2,14000
3004,2026-08-02,Sneha,Mumbai,Keyboard,Accessories,5,1800
3005,2026-08-03,Rohit,Pune,Mouse,Accessories,8,950
3006,2026-08-03,Neha,Chennai,Printer,Office,1,15500
3007,2026-08-04,Karan,Kolkata,Chair,Furniture,4,4200
3008,2026-08-04,Pooja,Jaipur,Desk,Furniture,2,9800
3009,2026-08-05,Ankit,Lucknow,Mutual Fund,Finance,3,18000
3010,2026-08-05,Meera,Bangalore,Insurance,Finance,2,25000
